campaign		imperial_campaign
playable
	romans_julii;			<--------- Fabia gens
	}
	building
	{
		type equestrian stables
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type market trader
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type port_buildings port
	}
}

settlement
{
	level large_town
	region Apulia

	year_founded 0
	population 3300
	plan_set default_set
	faction_creator greek_cities
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type equestrian stables
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type hinterland_roads roads
	}
}

; VALERII Setup

character	Manius_A Valerius, named character, leader, age 36, , x 118, y 63
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , PoliticsSkill 2 , NaturalMilitarySkill 1 , GoodCommander 1 , GoodAttacker 1 , Intelligent 1 , Upright 1
ancillaries quartermaster
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0
unit		roman light cavalry				exp 1 armour 0 weapon_lvl 0
unit		roman hastati				exp 1 armour 0 weapon_lvl 0
unit		roman hastati				exp 1 armour 0 weapon_lvl 0
unit		roman hastati				exp 1 armour 0 weapon_lvl 0
unit		roman velite				exp 1 armour 0 weapon_lvl 0
unit		roman velite				exp 1 armour 0 weapon_lvl 0

character	Lucius_A Valerius, named character, heir, age 34, , x 116, y 63
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , PoliticsSkill 2 , NaturalPhilosophySkill 2 , GoodCommander 1 , PublicFaith 1 , Austere 1 , Intelligent 2
ancillaries drillmaster
army
unit		roman generals guard cavalry early				exp 0 armour 0 weapon_lvl 0
unit		roman city militia				exp 0 armour 0 weapon_lvl 0

character	Publius Valerius, named character, age 56, , x 107, y 69
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , GoodCommander 2 , NaturalMilitarySkill 2 , GoodDefender 1 , BattleScarred 1 , PublicFaith 1
ancillaries runner
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0

character	Quintus Valerius, named character, age 35, , x 111, y 67
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalPhilosophySkill 1 , PublicFaith 1 , Austere 1
army
unit		roman generals guard cavalry early				exp 0 armour 0 weapon_lvl 0

character	Publius_B Valerius, named character, age 22, , x 110, y 65
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalPhilosophySkill 1 , PublicFaith 1 , Upright 1
army
unit		roman generals guard cavalry early				exp 0 armour 0 weapon_lvl 0
unit		roman city militia				exp 0 armour 0 weapon_lvl 0

character	Luca Antonius, spy, age 23, , x 117, y 62
traits roman 1 , NaturalSpySkill 3 , GoodSpy 1

character	Caius Flaminius, diplomat, age 23, , x 112, y 63
traits roman 1 , NaturalDiplomatSkill 3

character	Marcus Attius, admiral, age 29, , x 120, y 64
army
unit		naval biremes				exp 0 armour 0 weapon_lvl 0
unit		naval biremes				exp 0 armour 0 weapon_lvl 0
unit		naval biremes				exp 0 armour 0 weapon_lvl 0

; VALERII Records

character_record	Marcus Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 100, dead, never_a_leader
character_record	Lucius Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 73, dead, never_a_leader
character_record	Manius Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 70, dead, never_a_leader
character_record	Marcus_B Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 67, dead, never_a_leader
character_record	Publius_C Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 60, dead, never_a_leader

character_record	Marcus_A Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 56, dead, never_a_leader
character_record	Publius_A Valerius, 	male, command 0, influence 0, management 0, subterfuge 0, age 3, alive, never_a_leader
character_record	Marcus_C Valerius,		male, command 0, influence 0, management 0, subterfuge 0, age 2, alive, never_a_leader

character_record	Quintus_A Valerius,		male, command 0, influence 0, management 0, subterfuge 0, age 14, alive, never_a_leader
character_record	Publius_D Valerius,		male, command 0, influence 0, management 0, subterfuge 0, age 12, alive, never_a_leader

character_record	Sabina, 	female, command 0, influence 0, management 0, subterfuge 0, age 32, alive, never_a_leader
character_record	Hostia, 	female, command 0, influence 0, management 0, subterfuge 0, age 36, alive, never_a_leader
character_record	Atia, 					female, command 0, influence 0, management 0, subterfuge 0, age 36, alive, never_a_leader

; VALERII Relatives

relative	Marcus Valerius, 	none,		Lucius Valerius, Manius Valerius, Marcus_B Valerius, Publius_C Valerius,	end

;Flacii
relative	Lucius Valerius, 	none,		Marcus_A Valerius,	end
relative	Marcus_A Valerius, 	none,		Lucius_A Valerius,	end
relative	Lucius_A Valerius, 	Atia,		Publius_A Valerius,	end

;Laevini
relative	Manius Valerius, 	none,		Publius Valerius,	end
relative	Publius Valerius, 	none,		Publius_B Valerius,	end

;Messallae
relative	Marcus_B Valerius, 	none,		Manius_A Valerius,	end
relative	Manius_A Valerius, 	Hostia,		Marcus_C Valerius,	end

;Faltones
relative	Publius_C Valerius,	none,		Quintus Valerius,	end
relative	Quintus Valerius,	Sabina,		Quintus_A Valerius,	Publius_D Valerius,	end


;=========================================================================================================
;==================================			CLAUDII			==============================================
;=========================================================================================================


faction	romans_scipii, craftsman_stalin
superfaction romans_senate
denari	5000
settlement
{
	level large_town
	region Campania

	year_founded 0
	population 5200
	plan_set default_set
	faction_creator latin_faction_01
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type hinterland_roads paved_roads
	}
	building
	{
		type hinterland_farms farms+1
	}
	building
	{
		type market trader
	}
	building
	{
		type barracks militia_barracks
	}
	building
	{
		type port_buildings port
	}
}

settlement
{
	level large_town
	region Bruttium

	year_founded 0
	population 3700
	plan_set default_set
	faction_creator greek_cities
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type market trader
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type barracks muster_field
	}
}

; CLAUDII Setup

character	Appius_A Claudius, named character, leader, age 38, , x 101, y 68
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 2 , PoliticsSkill 2 , GoodAdministrator 2 , Austere 1 , GoodInfantryGeneral 1
ancillaries aged_retainer
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0

character	Appius_B Claudius, named character, heir, age 35, , x 100, y 67
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalPhilosophySkill 2 , MathematicsSkill 1 , GoodCommander 2 , PoliticsSkill 2 , GoodAdministrator 2 , GoodTaxman 1
ancillaries freeman_clerk
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0
unit		roman city militia				exp 1 armour 0 weapon_lvl 0

character	Publius Claudius, named character, age 27, , x 109, y 57
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 1 , Intelligent 1 , Generous 1 , Austere 1 , GoodInfantryGeneral 1
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0
unit		roman hastati				exp 2 armour 0 weapon_lvl 0
unit		roman hastati				exp 2 armour 0 weapon_lvl 0
unit		roman hastati				exp 2 armour 0 weapon_lvl 0
unit		roman archer				exp 2 armour 0 weapon_lvl 0
unit		roman archer				exp 2 armour 0 weapon_lvl 0

character	Gaius_A Claudius, named character, age 25, , x 99, y 69
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 1 , Intelligent 1 , Generous 1
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0

character	Tiberius Claudius, named character, age 18, , x 108, y 59
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 1 , Intelligent 1 , Generous 1
army
unit		roman generals guard cavalry early				exp 1 armour 0 weapon_lvl 0

character	Marcus_A Claudius, named character, age 23, , x 114, y 57
traits roman 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalPhilosophySkill 1 , Austere 1
army
unit		roman generals guard cavalry early				exp 0 armour 0 weapon_lvl 0
unit		roman city militia				exp 0 armour 0 weapon_lvl 0

character	Aulus Ovidius, spy, age 20, , x 110, y 58
traits roman 1 , NaturalSpySkill 3

character	Quintus Caecus, diplomat, age 26, , x 110, y 59
traits roman 1 , NaturalDiplomatSkill 2

character	Aulus Volesus, admiral, age 22, , x 108, y 57
army
unit		naval biremes				exp 2 armour 0 weapon_lvl 0
unit		naval biremes				exp 1 armour 0 weapon_lvl 0
unit		naval biremes				exp 1 armour 0 weapon_lvl 0

; CLAUDII Records

character_record	Gaius Claudius, 	male, command 0, influence 0, management 0, subterfuge 0, age 91, dead, never_a_leader
character_record	Appius Claudius, 	male, command 0, influence 0, management 0, subterfuge 0, age 63, dead, never_a_leader
character_record	Marcus Claudius,	male, command 0, influence 0, management 0, subterfuge 0, age 52, dead, never_a_leader
character_record	Marcus_B Claudius,	male, command 0, influence 0, management 0, subterfuge 0, age 0, alive, never_a_leader
character_record	Crispina,	female, command 0, influence 0, management 0, subterfuge 0, age 20, alive, never_a_leader
character_record	Placidia,	female, command 0, influence 0, management 0, subterfuge 0, age 20, alive, never_a_leader
character_record	Galla,				female, command 0, influence 0, management 0, subterfuge 0, age 18, alive, never_a_leader
character_record	Fadia,				female, command 0, influence 0, management 0, subterfuge 0, age 17, alive, never_a_leader

; CLAUDII Relatives

relative	Gaius Claudius, 	none,		Appius Claudius,	Marcus Claudius,	Appius_A Claudius,	end

;Sabini
relative	Appius Claudius, 	none,		Appius_B Claudius,	Publius Claudius,	Gaius_A Claudius,	Tiberius Claudius,	end
relative	Appius_B Claudius, 	Crispina,	end

;Pulchri
relative	Publius Claudius, 	Placidia,	end

;Centhones
relative	Gaius_A Claudius, 	Galla,	end

;Marcelli
relative	Marcus Claudius,	none,		Marcus_A Claudius,	end
relative	Marcus_A Claudius,	Fadia,			Marcus_B Claudius,	end


;=========================================================================================================
;==================================			MACEDON			==============================================
;=========================================================================================================


faction	macedon, balanced_alexander
denari	5000
settlement
{
	level large_town
	region Macedonia

	year_founded 0
	population 7600
	plan_set default_set
	faction_creator macedon
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type equestrian stables
	}
	building
	{
		type barracks militia_barracks
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type port_buildings port
	}
}

settlement
{
	level large_town
	region Edonis

	year_founded 0
	population 4000
	plan_set default_set
	faction_creator macedon
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type barracks muster_field
	}
}

settlement
{
	level large_town
	region Chalkidiki

	year_founded 0
	population 6200
	plan_set default_set
	faction_creator macedon
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type equestrian stables
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type port_buildings port
	}
}

settlement
{
	level large_town
	region Thessalia

	year_founded 0
	population 6300
	plan_set default_set
	faction_creator macedon
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type equestrian stables
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Estaiotis

	year_founded 0
	population 4700
	plan_set default_set
	faction_creator macedon
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Megaris

	year_founded 0
	population 3500
	plan_set default_set
	faction_creator hellenic_faction_09
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Boeotia

	year_founded 0
	population 4100
	plan_set default_set
	faction_creator hellenic_faction_05
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Euboea

	year_founded 0
	population 5100
	plan_set default_set
	faction_creator hellenic_faction_09
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type port_buildings port
	}
	building
	{
		type barracks muster_field
	}
}

settlement
{
	level large_town
	region Peloponnesus

	year_founded 0
	population 6000
	plan_set default_set
	faction_creator hellenic_faction_14
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type market trader
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type barracks muster_field
	}
}

settlement
{
	level large_town
	region Argolis

	year_founded 0
	population 3700
	plan_set default_set
	faction_creator hellenic_faction_14
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level town
	region Arcadia

	year_founded 0
	population 2300
	plan_set default_set
	faction_creator hellenic_faction_14
	building
	{
		type core_building governors_house
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Messenia

	year_founded 0
	population 3500
	plan_set default_set
	faction_creator hellenic_faction_01
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

character	Antigonus, named character, leader, age 50, , x 136, y 68
traits hellenic 1 , LoyaltyStarter 1 , AIBattleBonus 1 , GoodCommander 2 , NaturalMilitarySkill 1 , GoodRiskyAttacker 2 , PublicFaith 1 , GoodAdministrator 1 , Intelligent 1
ancillaries shieldbearer, drillmaster
army
unit		greek general's guard cavalry early				exp 2 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 1 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 1 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 1 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 1 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 1 armour 0 weapon_lvl 0
unit		greek light lancer				exp 1 armour 0 weapon_lvl 0

character	Gyras, named character, heir, age 32, , x 138, y 60
traits hellenic 1 , LoyaltyStarter 1 , AIBattleBonus 1 , GoodCommander 1 , NaturalMilitarySkill 2 , PublicFaith 1 , MathematicsSkill 1 , Intelligent 1 , Generous 1
ancillaries actor
army
unit		greek general's guard cavalry early				exp 1 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 0 armour 0 weapon_lvl 0
unit		greek light lancer				exp 0 armour 0 weapon_lvl 0
unit		greek archer				exp 0 armour 0 weapon_lvl 0

character	Euenus, named character, age 27, , x 141, y 52
traits hellenic 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 2 , PublicFaith 1 , GoodAdministrator 2
ancillaries treasurer
army
unit		greek general's guard cavalry early				exp 1 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 0 armour 0 weapon_lvl 0
unit		greek light lancer				exp 0 armour 0 weapon_lvl 0
unit		greek archer				exp 0 armour 0 weapon_lvl 0

character	Halcyoneus, named character, age 18, , x 139, y 66
traits hellenic 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 1 , Bloodthirsty 1 , PublicFaith 1
ancillaries swordbearer
army
unit		greek general's guard cavalry early				exp 1 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 0 armour 0 weapon_lvl 0
unit		greek light lancer				exp 0 armour 0 weapon_lvl 0
unit		greek archer				exp 0 armour 0 weapon_lvl 0

character	Craterus, named character, age 51, , x 139, y 52
traits hellenic 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalPhilosophySkill 2 , Energetic 2 , PublicFaith 2
ancillaries freeman_clerk, doctor
army
unit		greek general's guard cavalry early				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 0 armour 0 weapon_lvl 0
unit		greek light lancer				exp 0 armour 0 weapon_lvl 0
unit		greek archer				exp 0 armour 0 weapon_lvl 0

;Messenia
character	Alexander, named character, age 25, , x 135, y 46
traits hellenic 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalMilitarySkill 3 , Energetic 2 , GoodAttacker 2 , Corrupt 2 , SmoothTalker 2
army
unit		greek general's guard cavalry early				exp 3 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek levy pikemen				exp 0 armour 0 weapon_lvl 0
unit		greek heavy cavalry				exp 0 armour 0 weapon_lvl 0
unit		greek light lancer				exp 0 armour 0 weapon_lvl 0
unit		greek archer				exp 0 armour 0 weapon_lvl 0

character	Carpus of Pylos, diplomat, age 20, , x 138, y 68
traits hellenic 1 , NaturalDiplomatSkill 3
ancillaries wine_steward

character	Aegisthes of Larissa, spy, age 20, , x 137, y 69
traits hellenic 1 , NaturalSpySkill 2
ancillaries dancer

character	Alcaeos of Abydos, admiral, age 20, , x 138, y 64
army
unit		naval biremes				exp 0 armour 0 weapon_lvl 0
unit		naval biremes				exp 0 armour 0 weapon_lvl 0

character_record	Antigonid, 	male, command 0, influence 0, management 0, subterfuge 0, age 81, dead, never_a_leader
character_record	Demetrius, 	male, command 0, influence 0, management 0, subterfuge 0, age 54, dead, never_a_leader
character_record	Philip, 	male, command 0, influence 0, management 0, subterfuge 0, age 31, dead, never_a_leader
character_record	Cleitos, 	male, command 0, influence 0, management 0, subterfuge 0, age 15, alive, never_a_leader
character_record	Leonatos, 	male, command 0, influence 0, management 0, subterfuge 0, age 15, alive, never_a_leader
character_record	Demetrius_A, 	male, command 0, influence 0, management 0, subterfuge 0, age 5, alive, never_a_leader
character_record	Kyra, 	female, command 0, influence 0, management 0, subterfuge 0, age 21, alive, never_a_leader

character_record	Alkmena, 	female, command 0, influence 0, management 0, subterfuge 0, age 30, alive, never_a_leader
character_record	Aloeus, 	male, command 0, influence 0, management 0, subterfuge 0, age 14, alive, never_a_leader
character_record	Abreas, 	male, command 0, influence 0, management 0, subterfuge 0, age 11, alive, never_a_leader

character_record	Pervica, 	female, command 0, influence 0, management 0, subterfuge 0, age 24, alive, never_a_leader
character_record	Caleope, 	female, command 0, influence 0, management 0, subterfuge 0, age 5, alive, never_a_leader
character_record	Deukalos, 	male, command 0, influence 0, management 0, subterfuge 0, age 4, alive, never_a_leader

relative	Antigonid, 						none,		Demetrius,	Philip,	end
relative	Demetrius, 						none,		Craterus,	Antigonus,	end
relative	Philip, 						none,		Gyras,	Euenus,	Kyra,	Cleitos,	end
relative	Antigonus, 						none,		Halcyoneus,	Demetrius_A,	end
relative	Craterus,						none,		Alexander,	Leonatos,	end
relative	Gyras, 							Alkmena,	Aloeus,	Abreas,	end
relative	Euenus, 						Pervica,	Caleope,	Deukalos,	end


;=========================================================================================================
;==================================			EGYPT			==============================================
;=========================================================================================================


faction	egypt, religious_alexander
denari	5000
settlement
{
	level city
	region Nile_Delta

	year_founded 0
	population 13000
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_palace
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type barracks militia_barracks
	}
	building
	{
		type missiles practice_field
	}
	building
	{
		type equestrian stables
	}
	building
	{
		type port_buildings port
	}
	building
	{
		type market trader
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
	building
	{
		type temple_of_one_god temple_of_one_god_shrine
	}
}

settlement
{
	level large_town
	region Middle_Egypt

	year_founded 0
	population 7200
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type missiles practice_field
	}
	building
	{
		type market trader
	}
	building
	{
		type temple_of_one_god temple_of_one_god_shrine
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Thebais

	year_founded 0
	population 5600
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type missiles practice_field
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Cyprus

	year_founded 0
	population 4800
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type port_buildings port
	}
}

settlement
{
	level large_town
	region Gaza

	year_founded 0
	population 3900
	plan_set default_set
	faction_creator anatolian_faction_02
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
	building
	{
		type port_buildings port
	}
	building
	{
		type hinterland_roads roads
	}
}

settlement
{
	level town
	region Rhinocorura

	year_founded 0
	population 2700
	plan_set default_set
	faction_creator desert_faction_03
	building
	{
		type core_building governors_house
	}
	building
	{
		type hinterland_roads roads
	}
}

settlement
{
	level large_town
	region Phoenicia

	year_founded 0
	population 4600
	plan_set default_set
	faction_creator anatolian_faction_02
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type port_buildings port
	}
	building
	{
		type market market
	}
	building
	{
		type hinterland_roads roads
	}
}

settlement
{
	level large_town
	region Tyrea

	year_founded 0
	population 4600
	plan_set default_set
	faction_creator anatolian_faction_02
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type missiles practice_field
	}
	building
	{
		type port_buildings port
	}
	building
	{
		type market market
	}
	building
	{
		type hinterland_roads roads
	}
}

settlement
{
	level town
	region Libya

	year_founded 0
	population 2900
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_house
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type temple_of_one_god temple_of_one_god_shrine
	}
}

settlement
{
	level village
	region Qattara

	year_founded 0
	population 500
	plan_set default_set
	faction_creator desert_faction_03
}

settlement
{
	level large_town
	region Ionia

	year_founded 0
	population 5900
	plan_set default_set
	faction_creator hellenic_faction_07
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type port_buildings port
	}
	building
	{
		type market market
	}
	building
	{
		type hinterland_roads roads
	}
}

settlement
{
	level large_town
	region Caria

	year_founded 0
	population 5000
	plan_set default_set
	faction_creator hellenic_faction_01
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type barracks muster_field
	}
}

settlement
{
	level large_town
	region Lycia

	year_founded 0
	population 3100
	plan_set default_set
	faction_creator hellenic_faction_06
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
}

settlement
{
	level large_town
	region Pamphylia

	year_founded 0
	population 4200
	plan_set default_set
	faction_creator seleucid
	building
	{
		type core_building governors_villa
	}
	building
	{
		type market trader
	}
	building
	{
		type temple_of_hunting temple_of_hunting_shrine
	}
}

settlement
{
	level large_town
	region Lesbos

	year_founded 0
	population 4000
	plan_set default_set
	faction_creator hellenic_faction_09
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_pallisade
	}
}

settlement
{
	level large_town
	region Pelousion

	year_founded 0
	population 3600
	plan_set default_set
	faction_creator hellenic_faction_09
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses wooden_wall
	}
	building
	{
		type barracks muster_field
	}
	building
	{
		type hinterland_roads roads
	}
}

settlement
{
	level large_town
	region Hare

	year_founded 0
	population 3600
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_villa
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Thinis

	year_founded 0
	population 3200
	plan_set default_set
	faction_creator egypt
	building
	{
		type core_building governors_villa
	}
	building
	{
		type hinterland_roads roads
	}
	building
	{
		type hinterland_farms farms
	}
}

settlement
{
	level large_town
	region Coele_Syria

	year_founded 0
	population 6400
	plan_set default_set
	faction_creator seleucid
	building
	{
		type core_building governors_villa
	}
	building
	{
		type defenses stone_wall
	}
	building
	{
		type hinterland_roads roads
	}
}

;qattara
character	Nikon, general, age 20, , x 158, y 10
army
unit		egyptian infantry				exp 0 armour 0 weapon_lvl 0
unit		egyptian nile infantry			exp 0 armour 0 weapon_lvl 0
unit		egyptian nile infantry			exp 0 armour 0 weapon_lvl 0
unit		egyptian peltast				exp 0 armour 0 weapon_lvl 0

;rhino
character	Athenion, general, age 20, , x 195, y 22
army
unit		egyptian infantry				exp 0 armour 0 weapon_lvl 0
unit		egyptian nile infantry			exp 0 armour 0 weapon_lvl 0
unit		egyptian peltast				exp 0 armour 0 weapon_lvl 0
unit		egyptian archer					exp 0 armour 0 weapon_lvl 0

;alexendria
character	Ptolemy, named character, leader, age 39, , x 178, y 19
traits egyptian 1 , LoyaltyStarter 1 , AIBattleBonus 1 , GoodCommander 2 , StrategicSkill 2 , NaturalMilitarySkill 2 , PublicFaith 2 , MathematicsSkill 2
ancillaries librarian, master_embalmer, beastmaster, bodyguard, chief_eunuch
army
unit		egyptian general's bodyguard early				exp 1 armour 0 weapon_lvl 0
unit		egyptian elephant archer				exp 1 armour 0 weapon_lvl 0
;unit		egyptian elephant archer				exp 1 armour 0 weapon_lvl 0
unit		egyptian infantry				exp 0 armour 0 weapon_lvl 0
unit		egyptian infantry				exp 0 armour 0 weapon_lvl 0
unit		egyptian archer				exp 0 armour 0 weapon_lvl 0
unit		egyptian archer				exp 0 armour 0 weapon_lvl 0
unit		egyptian nile infantry				exp 0 armour 0 weapon_lvl 0

;thinis
character	Ptolemy_A, named character, heir, age 29, , x 183, y 5
traits egyptian 1 , LoyaltyStarter 1 , AIBattleBonus 1 , NaturalPhilosophySkill 2 , PublicFaith 2 , MathematicsSkill 3 , Embezzler 1
ancillaries mathematician
army
unit		egyptian general's bodyguard early				exp 1 armour 0 weapon_lvl 0
unit		egyptian infantry				exp 0 armour 0 weapon_lvl 0
unit		egyptian nile infantry			exp 0 armour 0 weapon_lvl 0
unit		egyptian nile infantry			exp 0 armour 0 weapon_lvl 0

;damascus
character	Lagus, named character, age 60, , x 205, y 43
